,league
0,NBA
1,NBA
2,NBA
3,NBA
4,NBA
5,NBA
6,NBA
7,NBA
8,NBA
9,NBA
10,NBA
11,NBA
12,NBA
13,NBA
14,NBA
15,NBA
16,NBA
17,NBA
18,NBA
19,NBA
20,NBA
21,NBA
22,NBA
23,NBA
24,NBA
25,NBA
26,NBA
27,NBA
28,NBA
29,NBA
30,NBA
31,NBA
32,NBA
33,NBA
34,NBA
35,NBA
36,NBA
37,NBA
38,NBA
39,NBA
40,NBA
41,NBA
42,NBA
43,NBA
44,NBA
45,NBA
46,NBA
47,NBA
48,NBA
49,NBA
50,NBA
51,NBA
52,NBA
53,NBA
54,NBA
55,NBA
56,NBA
57,NBA
58,NBA
59,NBA
60,NBA
61,NBA
62,NBA
63,NBA
64,NBA
65,NBA
66,NBA
67,NBA
68,NBA
69,NBA
70,NBA
71,NBA
72,NBA
73,NBA
74,NBA
75,NBA
76,NBA
77,NBA
78,NBA
79,NBA
80,NBA
81,NBA
82,NBA
83,NBA
84,NBA
85,NBA
86,NBA
87,NBA
88,NBA
89,NBA
90,NBA
91,NBA
92,NBA
93,NBA
94,NBA
95,NBA
96,NBA
97,NBA
98,NBA
99,NBA
100,NBA
101,NBA
102,NBA
103,NBA
104,NBA
105,NBA
106,NBA
107,NBA
108,NBA
109,NBA
110,NBA
111,NBA
112,NBA
113,NBA
114,NBA
115,NBA
116,NBA
117,NBA
118,NBA
119,NBA
120,NBA
121,NBA
122,NBA
123,NBA
124,NBA
125,NBA
126,NBA
127,NBA
128,NBA
129,NBA
130,NBA
131,NBA
132,NBA
133,NBA
134,NBA
135,NBA
136,NBA
137,NBA
138,NBA
139,NBA
140,NBA
141,NBA
142,NBA
143,NBA
144,NBA
145,NBA
146,NBA
147,NBA
148,NBA
149,NBA
150,NBA
151,NBA
152,NBA
153,NBA
154,NBA
155,NBA
156,NBA
157,NBA
158,NBA
159,NBA
160,NBA
161,NBA
162,NBA
163,NBA
164,NBA
165,NBA
166,NBA
167,NBA
168,NBA
169,NBA
170,NBA
171,NBA
172,NBA
173,NBA
174,NBA
175,NBA
176,NBA
177,NBA
178,NBA
179,NBA
180,NBA
181,NBA
182,NBA
183,NBA
184,NBA
185,NBA
186,NBA
187,NBA
188,NBA
189,NBA
190,NBA
191,NBA
192,NBA
193,NBA
194,NBA
195,NBA
196,NBA
197,NBA
198,NBA
199,NBA
200,NBA
201,NBA
202,NBA
203,NBA
204,NBA
205,NBA
206,NBA
207,NBA
208,NBA
209,NBA
210,NBA
211,NBA
212,NBA
213,NBA
214,NBA
215,NBA
216,NBA
217,NBA
218,NBA
219,NBA
220,NBA
221,NBA
222,NBA
223,NBA
224,NBA
225,NBA
226,NBA
227,NBA
228,NBA
229,NBA
230,NBA
231,NBA
232,NBA
233,NBA
234,NBA
235,NBA
236,NBA
237,NBA
238,NBA
239,NBA
240,NBA
241,NBA
242,NBA
243,NBA
244,NBA
245,NBA
246,NBA
247,NBA
248,NBA
249,NBA
250,NBA
251,NBA
252,NBA
253,NBA
254,NBA
255,NBA
256,NBA
257,NBA
258,NBA
259,NBA
260,NBA
261,NBA
262,NBA
263,NBA
264,NBA
265,NBA
266,NBA
267,NBA
268,NBA
269,NBA
270,NBA
271,NBA
272,NBA
273,NBA
274,NBA
275,NBA
276,NBA
277,NBA
278,NBA
279,NBA
280,NBA
281,NBA
282,NBA
283,NBA
284,NBA
285,NBA
286,NBA
287,NBA
288,NBA
289,NBA
290,NBA
291,NBA
292,NBA
293,NBA
294,NBA
295,NBA
296,NBA
297,NBA
298,NBA
299,NBA
300,NBA
301,NBA
302,NBA
303,NBA
304,NBA
305,NBA
306,NBA
307,NBA
308,NBA
309,NBA
310,NBA
311,NBA
312,NBA
313,NBA
314,NBA
315,NBA
316,NBA
317,NBA
318,NBA
319,NBA
320,NBA
321,NBA
322,NBA
323,NBA
324,NBA
325,NBA
326,NBA
327,NBA
328,NBA
329,NBA
330,NBA
331,NBA
332,NBA
333,NBA
334,NBA
335,NBA
336,NBA
337,NBA
338,NBA
339,NBA
340,NBA
341,NBA
342,NBA
343,NBA
344,NBA
345,NBA
346,NBA
347,NBA
348,NBA
349,NBA
350,NBA
351,NBA
352,NBA
353,NBA
354,NBA
355,NBA
356,NBA
357,NBA
358,NBA
359,NBA
360,NBA
361,NBA
362,NBA
363,NBA
364,NBA
365,NBA
366,NBA
367,NBA
368,NBA
369,NBA
370,NBA
371,NBA
372,NBA
373,NBA
374,NBA
375,NBA
376,NBA
377,NBA
378,NBA
379,NBA
380,NBA
381,NBA
382,NBA
383,NBA
384,NBA
385,NBA
386,NBA
387,NBA
388,NBA
389,NBA
390,NBA
391,NBA
392,NBA
393,NBA
394,NBA
395,NBA
396,NBA
397,NBA
398,NBA
399,NBA
400,NBA
401,NBA
402,NBA
403,NBA
404,NBA
405,NBA
406,NBA
407,NBA
408,NBA
409,NBA
410,NBA
411,NBA
412,NBA
413,NBA
414,NBA
415,NBA
416,NBA
417,NBA
418,NBA
419,NBA
420,NBA
421,NBA
422,NBA
423,NBA
424,NBA
425,NBA
426,NBA
427,NBA
428,NBA
429,NBA
430,NBA
431,NBA
432,NBA
433,NBA
434,NBA
435,NBA
436,NBA
437,NBA
438,NBA
439,NBA
440,NBA
441,NBA
442,NBA
443,NBA
444,NBA
445,NBA
446,NBA
447,NBA
448,NBA
449,NBA
450,NBA
451,NBA
452,NBA
453,NBA
454,NBA
455,NBA
456,NBA
457,NBA
458,NBA
459,NBA
460,NBA
461,NBA
462,NBA
463,NBA
464,NBA
465,NBA
466,NBA
467,NBA
468,NBA
469,NBA
470,NBA
471,NBA
472,NBA
473,NBA
474,NBA
475,NBA
476,NBA
477,NBA
478,NBA
479,NBA
480,NBA
481,NBA
482,NBA
483,NBA
484,NBA
485,NBA
486,NBA
487,NBA
488,NBA
489,NBA
490,NBA
491,NBA
492,NBA
493,NBA
494,NBA
495,NBA
496,NBA
497,NBA
498,NBA
499,NBA
500,NBA
501,NBA
502,NBA
503,NBA
504,NBA
505,NBA
506,NBA
507,NBA
508,NBA
509,NBA
510,NBA
511,NBA
512,NBA
513,NBA
514,NBA
515,NBA
516,NBA
517,NBA
518,NBA
519,NBA
520,NBA
521,NBA
522,NBA
523,NBA
524,NBA
525,NBA
526,NBA
527,NBA
528,NBA
529,NBA
530,NBA
531,NBA
532,NBA
533,NBA
534,NBA
535,NBA
536,NBA
537,NBA
538,NBA
539,NBA
540,NBA
541,NBA
542,NBA
543,NBA
544,NBA
545,NBA
546,NBA
547,NBA
548,NBA
549,NBA
550,NBA
551,NBA
552,NBA
553,NBA
554,NBA
555,NBA
556,NBA
557,NBA
558,NBA
559,NBA
560,NBA
561,NBA
562,NBA
563,NBA
564,NBA
565,NBA
566,NBA
567,NBA
568,NBA
569,NBA
570,NBA
571,NBA
572,NBA
573,NBA
574,NBA
575,NBA
576,NBA
577,NBA
578,NBA
579,NBA
580,NBA
581,NBA
582,NBA
583,NBA
584,NBA
585,NBA
586,NBA
587,NBA
588,NBA
589,NBA
590,NBA
591,NBA
592,NBA
593,NBA
594,NBA
595,NBA
596,NBA
597,NBA
598,NBA
599,NBA
600,NBA
601,NBA
